source_path,source_type,status,plate_number,confidence,valid_format,frame_index,runtime_sec,plate_bbox,,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test3\dark17.mp4,video,no_detection,,0,0,-1,19.7665,,dazzling plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test3\dark18.mp4,video,no_detection,,0,0,-1,18.1794,,dazzling AND yellow plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test3\dark19.mp4,video,detected,72E-001.55,1.1188,1,243,38.0773,"[195.89801025390625, 807.814208984375, 494.78472900390625, 903.0205078125]",yellow plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test3\dark20.mp4,video,detected,51C-803.71,1.1171,1,133,25.1606,"[216.90533447265625, 723.6070556640625, 506.064208984375, 810.0772705078125]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test3\dark21.mp4,video,detected,50H-365.29,1.1049,1,143,17.2912,"[209.59864807128906, 824.3546142578125, 472.93603515625, 903.1693115234375]",yellow plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test3\dark22.mp4,video,detected,51L-328.07,1.0201,1,185,21.0349,"[229.28533935546875, 766.9549560546875, 545.4044799804688, 856.54296875]",,
,,,,,,,,,,
,,,,,,,,,,
 BATCH SUMMARY videotest3,,,,,,,,,,
Total sources: 12,,,,,,,,,,
Detected: 8,,,,,,,,,,
Valid format: 8,,,,,,,,,,
Total folder time: 291.17 seconds,,,,,,,,,,
Average time per source: 24.26 seconds,,,,,,,,,,
Saved CSV: captures\batch_results.csv,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source_path,source_type,status,plate_number,confidence,valid_format,frame_index,runtime_sec,plate_bbox,,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 13 122.mp4,video,no_detection,,0,0,-1,19.3147,,too short video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 14.mp4,video,detected,36A-474.76,1.0524,1,27,35.4644,"[738.91796875, 615.7457275390625, 1491.3343505859375, 863.9057006835938]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 15 1.mp4,video,no_detection,,0,0,-1,30.991,,video reocord on moving bike,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 15 1s.mp4,video,detected,61D-392.17,0.9847,1,61,25.9168,"[774.7137451171875, 683.5891723632812, 1099.4619140625, 794.8106689453125]",51D-392.17-video not clear/many objects,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 15 1saaa.mp4,video,no_detection,,0,0,-1,26.1806,,croped video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 15 1saaaaa.mp4,video,no_detection,,0,0,-1,68.2086,,clear video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 15 1saaaaaz.mp4,video,detected,51L-344.29,1.1077,1,42,50.9171,"[945.838623046875, 784.380615234375, 1398.651123046875, 942.2001342773438]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test\Video Project 15.mp4,video,detected,51B-685.16,0.8126,1,3,411.3206,"[464.99853515625, 482.707763671875, 754.3055419921875, 775.972412109375]",,
,,,,,,,,,,
 BATCH SUMMARY videotest,,,,,,,,,,
Total sources: 8,,,,,,,,,,
Detected: 4,,,,,,,,,,
Valid format: 4,,,,,,,,,,
Total folder time: 668.56 seconds,,,,,,,,,,
Average time per source: 83.57 seconds,,,,,,,,,,
Saved CSV: captures\batch_results.csv,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source_path,source_type,status,plate_number,confidence,valid_format,frame_index,runtime_sec,plate_bbox,,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau1.mp4,video,detected,43346CV03,0.9211,0,27,61.1431,"[648.9956665039062, 479.75054931640625, 1255.8914794921875, 661.9366455078125]",foregin plate,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau2.mp4,video,no_detection,,0,0,-1,41.536,,only 1 frame video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau3.mp4,video,detected,1660527,0.4361,0,23,46.289,"[854.3215942382812, 440.689453125, 1074.713623046875, 607.6115112304688]",1 frame video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau4.mp4,video,detected,30E-922.91,1.0971,1,109,49.8625,"[771.3649291992188, 701.9547729492188, 1198.06884765625, 824.53271484375]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau5.mp4,video,detected,98C-295.00,0.8849,1,31,49.2615,"[245.1950225830078, 747.4030151367188, 512.3164672851562, 867.3015747070312]",AI video- 88C-295.00,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau6.mp4,video,detected,47A-479.69,1.0476,1,329,63.9619,"[240.35797119140625, 209.8100128173828, 535.0219116210938, 292.687744140625]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau7.mp4,video,detected,47A-479.69,1.103,1,624,67.4934,"[383.4481506347656, 332.336181640625, 728.8703002929688, 419.9674377441406]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Chau8.mp4,video,detected,51L-930.75,1.0571,1,58,58.429,"[792.1546020507812, 385.7939453125, 987.775390625, 550.6143798828125]",,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Video Project 15 1saaaaazd.mp4,video,no_detection,,0,0,-1,29.6289,,quite clear video,
C:\Users\PC\Automatic-License-Plate-Recognition-using-YOLOv8\video test1\Video Project 16.mp4,video,no_detection,,0,0,-1,33.3966,,not enough plate in video,
,,,,,,,,,,
 BATCH SUMMARY videotest1,,,,,,,,,,
Total sources: 10,,,,,,,,,,
Detected: 7,,,,,,,,,,
Valid format: 5,,,,,,,,,,
Total folder time: 501.45 seconds,,,,,,,,,,
Average time per source: 50.15 seconds,,,,,,,,,,
Saved CSV: captures\batch_results.csv,,,,,,,,,,
