session_id,plate_number,entry_time,exit_time,entry_confidence,exit_confidence,entry_full_image_path,exit_full_image_path,entry_plate_crop_path,exit_plate_crop_path,entry_vehicle_bbox,exit_vehicle_bbox,entry_plate_bbox,exit_plate_bbox,status
entry_20260316_134756_c4a64c,51M-781.03,20260316_134756,,0.3804,,captures\full_frames\entry_20260316_134756_c4a64c_full.jpg,,captures\plate_crops\entry_20260316_134756_c4a64c_plate.jpg,,"[178.76513671875, 23.806915283203125, 1838.1800537109375, 1065.41943359375]",,"[309.75439453125, 803.244140625, 651.996826171875, 950.20751953125]",,active
entry_20260316_154123_175589,51M-781.03,20260316_154123,,0.3804,,captures\full_frames\entry_20260316_154123_175589_full.jpg,,captures\plate_crops\entry_20260316_154123_175589_plate.jpg,,"[178.76513671875, 23.806915283203125, 1838.1800537109375, 1065.41943359375]",,"[309.75439453125, 803.244140625, 651.996826171875, 950.20751953125]",,active
